suicides/100k pop,HDI for year,suicides_no
7.66,,186
5.57,,188
4.37,,96
4.27,,101
0.33,,10
0.24,,7
54.08,,200
26.15,,532
14.14,,482
10.42,,57
9.54,,224
8.44,,192
7.27,,179
6.11,,209
4.0,,89
3.88,,93
0.48,,15
0.47,,14
55.1,,216
26.46,,550
13.62,,477
10.13,,61
9.66,,233
9.45,,215
8.36,,211
5.64,,198
4.11,,101
2.74,,61
0.62,,20
0.35,,11
52.0,,208
26.03,,548
12.97,,462
10.45,,65
9.58,,219
8.22,,201
7.22,,186
4.66,,166
3.71,,83
3.19,,80
0.55,,18
0.35,,11
54.97,0.705,226
23.59,0.705,502
12.13,0.705,439
9.49,0.705,61
7.92,0.705,182
7.67,0.705,190
6.6,0.705,174
4.5,0.705,163
3.54,0.705,91
3.38,0.705,76
0.67,0.705,22
0.44,0.705,14
46.46,,184
21.08,,449
11.12,,398
9.4,,214
7.6,,50
6.74,,169
6.54,,179
3.6,,133
3.33,,77
2.27,,61
0.83,,28
0.27,,9
47.91,,194
23.25,,500
13.49,,488
9.84,,227
8.79,,249
6.78,,46
5.79,,147
3.73,,140
3.39,,79
2.84,,79
0.65,,22
0.4,,13
55.37,,229
23.95,,520
13.48,,495
9.97,,233
8.3,,58
8.01,,235
4.91,,126
3.77,,144
3.24,,76
2.54,,73
0.74,,25
0.49,,16
45.38,,192
23.22,,509
14.13,,527
9.54,,226
8.26,,250
5.2,,135
4.72,,34
4.12,,160
3.3,,98
3.04,,72
0.8,,27
0.34,,11
43.8,0.731,190
23.26,0.731,515
12.8,0.731,485
9.06,0.731,218
8.9,0.731,277
6.6,0.731,49
5.1,0.731,134
3.52,0.731,139
3.31,0.731,101
2.59,0.731,62
0.58,0.731,19
0.45,0.731,15
42.4,,189
20.75,,464
13.62,,524
9.25,,226
8.79,,280
7.7,,59
4.94,,131
4.38,,176
3.36,,105
2.14,,52
0.42,,14
0.28,,9
39.78,,195
20.29,,457
12.73,,501
8.66,,213
8.13,,260
5.5,,47
4.91,,131
4.04,,165
3.57,,113
2.91,,72
0.55,,19
0.33,,11
39.87,,201
22.77,,518
12.73,,508
10.08,,327
10.05,,251
6.0,,53
5.19,,140
3.56,,114
3.55,,147
2.07,,52
0.6,,20
0.46,,16
39.55,,204
23.46,,540
13.47,,545
10.82,,355
10.42,,265
5.02,,137
4.82,,44
3.36,,141
3.13,,101
1.95,,50
0.6,,21
0.59,,20
44.18,0.762,232
25.8,0.762,602
14.11,0.762,578
14.0,0.762,463
12.72,0.762,331
4.82,0.762,133
4.56,0.762,43
4.09,0.762,174
3.57,0.762,116
2.41,0.762,63
0.62,0.762,21
0.51,0.762,18
45.66,,250
27.94,,659
15.58,,518
15.08,,625
14.02,,375
5.83,,57
5.09,,166
4.91,,137
4.88,,210
3.05,,82
0.82,,29
0.7,,24
41.31,,234
25.76,,615
16.27,,542
14.94,,412
14.77,,619
6.35,,179
5.73,,58
4.84,,158
4.45,,194
3.28,,91
1.05,,37
0.67,,23
46.75,,272
23.83,,577
19.15,,638
16.02,,456
14.75,,625
6.51,,68
5.49,,179
5.15,,147
4.45,,196
2.41,,69
1.05,,37
0.73,,25
38.25,,227
20.33,,500
19.59,,653
15.19,,445
13.98,,599
4.88,,159
4.7,,136
4.66,,50
4.16,,185
3.37,,99
1.22,,43
0.73,,25
37.43,0.775,225
19.52,0.775,489
19.08,0.775,638
15.01,0.775,451
12.43,0.775,539
5.47,0.775,161
5.36,0.775,59
4.54,0.775,148
3.8,0.775,171
3.45,0.775,104
1.47,0.775,52
0.62,0.775,21
39.68,,246
19.54,,656
19.17,,487
15.74,,483
13.34,,585
5.35,,175
3.85,,115
3.52,,160
3.42,,105
2.74,,31
1.11,,39
0.76,,26
35.43,,225
17.07,,577
16.96,,438
15.68,,490
12.87,,571
4.43,,146
4.04,,126
3.56,,108
3.37,,155
2.67,,31
1.27,,45
1.0,,34
32.19,,208
18.33,,625
17.6,,463
16.74,,531
12.94,,582
5.42,,180
3.71,,173
3.5,,108
3.03,,36
2.97,,94
1.1,,39
0.58,,20
27.09,,177
17.72,,609
16.17,,434
15.7,,504
11.87,,542
4.91,,164
3.56,,112
3.29,,105
3.17,,150
2.06,,25
0.96,,34
0.82,,28
31.35,0.811,206
19.77,0.811,683
14.98,0.811,485
14.49,0.811,397
12.33,0.811,573
4.47,0.811,150
3.37,0.811,162
3.15,0.811,101
3.08,0.811,99
2.75,0.811,34
0.92,0.811,33
0.58,0.811,20
26.38,0.818,178
19.96,0.818,693
15.65,0.818,510
14.92,0.818,416
10.64,0.818,504
5.1,0.818,172
3.21,0.818,157
3.16,0.818,102
2.85,0.818,93
2.38,0.818,30
0.84,0.818,29
0.78,0.818,28
32.68,0.831,225
21.4,0.831,745
18.85,0.831,616
15.88,0.831,451
11.44,0.831,554
6.03,0.831,204
3.28,0.831,164
3.24,0.831,108
3.16,0.831,102
2.57,0.831,33
0.8,0.831,29
0.49,0.831,17
24.03,0.833,168
19.96,0.833,696
15.25,0.833,499
13.75,0.833,398
12.2,0.833,604
4.93,0.833,167
3.16,0.833,102
3.08,0.833,157
3.01,0.833,102
2.23,0.833,29
0.91,0.833,32
0.91,0.833,33
27.16,0.836,192
21.13,0.836,738
16.2,0.836,531
13.72,0.836,405
12.73,0.836,644
6.02,0.836,204
3.77,0.836,196
3.66,0.836,118
3.15,0.836,109
1.89,0.836,25
0.99,0.836,35
0.93,0.836,34
34.38,,245
18.74,,656
14.31,,431
14.13,,465
12.25,,633
4.51,,153
3.55,,125
3.52,,114
3.13,,166
2.01,,27
1.06,,39
0.54,,19
7.51,0.632,25
7.43,0.632,2
5.98,0.632,11
5.21,0.632,16
4.19,0.632,15
3.67,0.632,10
2.68,0.632,6
2.04,0.632,1
1.25,0.632,4
1.16,0.632,3
0.0,0.632,0
0.0,0.632,0
17.36,,5
6.37,,20
4.44,,11
4.43,,9
4.02,,14
3.78,,2
2.27,,9
2.03,,6
1.17,,4
0.0,,0
0.0,,0
0.0,,0
10.64,,3
6.97,,15
6.1,,22
4.8,,15
3.8,,10
3.75,,2
3.0,,9
1.46,,6
0.34,,1
0.0,,0
0.0,,0
0.0,,0
11.3,,6
8.83,,20
7.04,,2
6.72,,25
5.56,,17
5.07,,14
2.3,,7
1.79,,6
1.42,,6
1.02,,3
0.0,,0
0.0,,0
24.82,,7
9.67,,5
8.49,,20
8.1,,31
6.29,,18
3.37,,10
1.95,,6
1.6,,7
1.34,,4
0.52,,2
0.31,,1
0.27,,1
11.97,0.605,29
8.1,0.605,32
7.25,0.605,21
7.14,0.605,2
3.89,0.605,2
3.73,0.605,11
3.51,0.605,11
3.19,0.605,10
1.76,0.605,8
0.99,0.605,3
0.26,0.605,1
0.0,0.605,0
10.75,,3
7.31,,18
5.86,,24
4.57,,13
3.97,,12
1.49,,7
1.25,,4
1.0,,3
0.32,,1
0.27,,1
0.26,,1
0.0,,0
8.53,,21
6.1,,26
5.84,,3
3.51,,1
3.19,,9
2.63,,8
1.22,,4
0.61,,3
0.34,,1
0.26,,1
0.0,,0
0.0,,0
6.76,,2
6.58,,16
4.49,,20
2.14,,6
1.99,,6
1.88,,1
1.77,,9
1.19,,4
0.35,,1
0.27,,1
0.0,,0
0.0,,0
6.3,,15
5.28,,3
4.74,,22
3.03,,9
2.14,,6
1.74,,6
0.75,,4
0.7,,2
0.0,,0
0.0,,0
0.0,,0
0.0,,0
10.64,0.648,4
7.52,0.648,5
5.98,0.648,14
3.74,0.648,18
1.76,0.648,5
1.68,0.648,6
1.43,0.648,4
1.37,0.648,4
0.18,0.648,1
0.0,0.648,0
0.0,0.648,0
0.0,0.648,0
7.47,,17
7.46,,3
6.03,,4
3.85,,19
1.38,,4
1.11,,4
0.89,,3
0.7,,2
0.53,,3
0.36,,1
0.0,,0
0.0,,0
10.32,,3
9.67,,19
5.81,,12
5.26,,22
1.71,,1
1.7,,5
1.28,,6
1.19,,3
0.45,,1
0.34,,1
0.34,,1
0.0,,0
9.23,,3
7.21,,14
4.96,,21
4.77,,3
4.75,,10
1.2,,3
0.63,,3
0.35,,1
0.33,,1
0.0,,0
0.0,,0
0.0,,0
12.47,,6
11.38,,21
4.63,,17
3.62,,10
3.35,,8
3.19,,6
2.54,,2
1.11,,5
0.93,,2
0.45,,1
0.0,,0
0.0,,0
14.2,,7
7.02,,13
5.25,,19
3.32,,8
2.57,,7
2.09,,4
1.8,,8
1.26,,1
1.04,,3
0.47,,1
0.0,,0
0.0,,0
14.93,,7
9.05,,18
2.56,,11
2.09,,10
1.92,,5
1.6,,4
0.94,,3
0.79,,2
0.5,,1
0.45,,1
0.32,,1
0.0,,0
15.76,,8
5.8,,11
4.83,,17
1.92,,5
1.25,,1
1.21,,3
1.01,,2
0.87,,2
0.69,,3
0.36,,1
0.0,,0
0.0,,0
11.47,0.721,6
6.73,0.721,13
4.93,0.721,10
4.33,0.721,15
3.17,0.721,8
2.76,0.721,7
2.45,0.721,2
1.2,0.721,2
1.17,0.721,5
1.04,0.721,2
0.74,0.721,2
0.42,0.721,1
6.92,0.723,6
6.74,0.723,23
5.64,0.723,11
3.81,0.723,8
3.6,0.723,2
2.85,0.723,7
1.54,0.723,4
1.17,0.723,3
0.71,0.723,3
0.0,0.723,0
0.0,0.723,0
0.0,0.723,0
8.83,0.728,5
6.9,0.728,26
5.18,0.728,11
4.48,0.728,11
3.29,0.728,3
1.96,0.728,5
1.63,0.728,7
1.54,0.728,4
1.46,0.728,4
0.78,0.728,2
0.52,0.728,1
0.0,0.728,0
11.94,0.731,7
6.31,0.731,6
5.04,0.731,11
3.92,0.731,11
3.59,0.731,9
3.51,0.731,13
1.42,0.731,6
0.82,0.731,2
0.52,0.731,1
0.41,0.731,1
0.0,0.731,0
0.0,0.731,0
14.97,0.733,9
6.12,0.733,6
5.35,0.733,12
3.58,0.733,13
2.37,0.733,6
1.38,0.733,4
1.3,0.733,3
0.88,0.733,2
0.58,0.733,1
0.48,0.733,2
0.0,0.733,0
0.0,0.733,0
19.56,,12
6.92,,16
4.96,,5
4.21,,15
3.91,,10
1.68,,5
1.42,,3
0.97,,4
0.92,,2
0.73,,2
0.0,,0
0.0,,0
19.37,,12
6.73,,16
4.56,,16
2.47,,5
1.95,,2
1.95,,6
1.56,,4
0.74,,3
0.72,,2
0.51,,1
224.97,,2
53.19,,4
21.94,,1
8.41,,1
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
56.89,,4
36.85,,2
21.73,,3
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
133.42,,2
101.11,,1
43.94,,3
14.06,,2
12.8,,2
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
27.28,,4
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
65.4,,4
30.96,,2
16.84,,1
13.26,,2
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
12.93,,2
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
88.03,,1
44.76,,3
16.22,,1
15.04,,1
12.67,,2
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
28.62,,2
18.74,,3
14.61,,1
14.28,,1
12.29,,1
11.04,,2
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
66.73,,4
18.65,,3
10.93,,2
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
33.7,,2
18.7,,3
15.53,,1
13.09,,1
11.17,,1
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
17.1,,1
12.56,,1
6.28,,1
5.5,,1
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
17.46,,1
12.71,,2
12.06,,1
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
25.74,,4
23.09,,2
9.82,,1
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
33.56,,3
19.5,,3
15.96,,1
14.91,,1
9.49,,1
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
30.59,,67
27.48,,357
23.95,,282
23.23,,315
21.55,,411
9.4,,36
8.47,,109
7.8,,143
5.29,,69
5.02,,64
0.32,,4
0.31,,4
38.08,,89
27.86,,367
26.74,,324
24.7,,487
21.62,,296
8.95,,169
8.04,,105
6.77,,88
5.86,,77
5.68,,23
1.41,,18
0.08,,1
45.34,,111
27.79,,374
27.28,,554
26.73,,328
25.58,,354
9.02,,38
8.34,,110
7.43,,145
5.49,,73
5.27,,70
0.47,,6
0.08,,1
36.27,,93
28.94,,398
26.22,,366
25.55,,317
25.37,,532
9.13,,40
7.82,,106
7.78,,157
7.74,,103
3.95,,53
0.47,,6
0.08,,1
34.1,,91
29.02,,406
25.23,,353
24.62,,309
22.02,,475
9.25,,124
6.86,,31
6.29,,87
6.23,,130
3.78,,51
0.63,,8
0.08,,1
31.42,0.865,87
29.54,0.865,418
26.6,0.865,374
25.66,0.865,325
24.72,0.865,549
7.95,0.865,37
7.78,0.865,109
7.26,0.865,98
6.31,0.865,136
4.72,0.865,64
0.39,0.865,5
0.0,0.865,0
39.64,,114
30.14,,427
27.68,,631
25.18,,354
21.28,,273
8.11,,39
7.62,,169
7.05,,96
6.46,,91
6.2,,84
0.54,,7
0.25,,3
29.14,,87
28.72,,407
27.33,,384
25.01,,325
24.78,,579
9.05,,45
7.41,,102
6.8,,96
6.31,,144
5.62,,76
0.31,,4
0.16,,2
30.87,,95
27.73,,392
23.69,,332
22.19,,293
21.89,,523
6.88,,161
6.66,,34
5.39,,76
5.39,,75
3.72,,50
0.38,,5
0.16,,2
31.66,,100
30.11,,426
27.0,,377
26.54,,648
23.12,,311
6.75,,162
6.31,,33
6.23,,88
5.6,,79
4.12,,55
0.23,,3
0.08,,1
30.96,0.882,440
26.8,0.882,88
23.41,0.882,587
23.13,0.882,318
20.05,0.882,274
7.28,0.882,180
6.42,0.882,91
6.13,0.882,81
5.52,0.882,79
5.19,0.882,28
0.3,0.882,4
0.0,0.882,0
35.25,,122
32.91,,471
26.83,,366
25.99,,669
23.79,,330
7.15,,182
6.85,,98
5.95,,86
4.97,,28
4.5,,59
0.6,,8
0.55,,7
36.82,,529
33.92,,123
30.37,,408
27.24,,717
21.54,,305
8.38,,219
7.56,,109
6.83,,40
6.65,,86
6.55,,96
0.55,,7
0.52,,7
40.37,,579
28.76,,773
26.53,,353
25.28,,96
20.83,,301
7.55,,109
7.53,,202
6.58,,40
6.33,,81
6.06,,90
0.44,,6
0.15,,2
35.69,,511
29.93,,119
27.11,,741
22.84,,303
21.25,,315
8.1,,117
7.35,,201
5.48,,70
4.88,,74
3.33,,21
0.73,,10
0.46,,6
32.57,0.898,466
27.64,0.898,115
26.9,0.898,745
20.33,0.898,271
18.46,0.898,281
7.33,0.898,106
7.19,0.898,200
6.07,0.898,78
5.62,0.898,87
5.05,0.898,33
0.58,0.898,8
0.08,0.898,1
34.25,,489
26.82,,752
26.28,,115
20.72,,280
18.9,,296
7.99,,226
7.54,,109
5.76,,39
5.11,,81
4.83,,63
0.3,,4
0.29,,4
31.54,,452
26.38,,744
22.1,,101
17.92,,246
16.35,,266
7.49,,213
7.13,,103
5.6,,92
5.17,,36
4.41,,58
0.3,,4
0.29,,4
27.41,,394
23.02,,654
21.62,,103
17.42,,243
16.89,,284
7.34,,106
6.8,,195
5.36,,91
3.6,,48
3.35,,24
0.53,,7
0.5,,7
26.78,,386
25.77,,126
22.83,,655
17.02,,293
14.43,,205
6.3,,183
5.67,,82
5.51,,40
4.91,,67
3.96,,69
0.5,,7
0.08,,1
23.7,,686
22.49,,114
19.2,,277
17.43,,309
15.9,,230
6.65,,195
6.4,,115
5.52,,41
5.12,,74
4.9,,68
0.5,,7
0.08,,1
23.19,,341
23.07,,687
23.0,,124
16.25,,305
15.44,,234
7.24,,219
6.17,,118
6.16,,90
4.58,,66
4.28,,33
0.57,,8
0.3,,4
25.37,,765
23.41,,354
21.88,,121
18.45,,357
14.61,,228
7.53,,231
6.02,,90
4.91,,97
4.07,,60
3.45,,27
0.57,,8
0.22,,3
24.74,,755
23.82,,135
21.44,,336
17.52,,349
13.08,,210
7.12,,221
6.68,,103
5.69,,116
5.43,,43
4.38,,66
0.22,,3
0.0,,0
26.52,0.927,816
25.94,0.927,151
19.36,0.927,311
17.55,0.927,360
13.71,0.927,222
7.28,0.927,228
5.95,0.927,94
5.34,0.927,43
5.26,0.927,80
4.94,0.927,104
0.49,0.927,7
0.3,0.927,4
24.83,0.93,146
22.91,0.93,704
21.55,0.93,347
17.39,0.93,366
15.41,0.93,242
7.36,0.93,230
6.22,0.93,93
5.52,0.93,118
5.5,0.93,45
5.37,0.93,85
0.67,0.93,9
0.49,0.93,7
26.04,0.932,158
25.88,0.932,802
21.17,0.932,351
18.31,0.932,396
13.74,0.932,217
8.19,0.932,258
7.25,0.932,109
6.25,0.932,52
6.01,0.932,98
5.58,0.932,123
0.73,0.932,10
0.42,0.932,6
25.51,0.933,160
24.18,0.933,754
19.33,0.933,329
18.81,0.933,418
16.78,0.933,267
8.67,0.933,275
6.37,0.933,145
6.28,0.933,95
5.67,0.933,95
5.66,0.933,48
1.09,0.933,16
0.43,0.933,6
27.66,0.935,866
25.23,0.935,164
23.34,0.935,404
20.67,0.935,471
16.89,0.935,271
8.68,0.935,277
6.93,0.935,119
6.7,0.935,157
6.31,0.935,96
5.2,0.935,45
1.06,0.935,15
0.4,0.935,6
29.97,,944
26.86,,181
24.0,,423
19.55,,457
17.46,,281
9.18,,294
7.21,,110
6.81,,119
6.3,,152
5.88,,52
0.56,,8
0.4,,6
97.1,0.764,152
60.76,0.764,355
54.76,0.764,515
42.28,0.764,232
32.43,0.764,110
31.66,0.764,207
26.1,0.764,220
19.85,0.764,186
10.28,0.764,56
7.89,0.764,50
1.26,0.764,6
0.44,0.764,2
109.01,,173
60.34,,355
53.69,,507
48.22,,272
31.84,,110
30.82,,199
23.35,,195
19.33,,182
14.32,,80
9.59,,60
1.07,,5
0.22,,1
128.72,,208
56.15,,332
49.61,,471
42.5,,247
35.78,,126
29.24,,185
27.82,,230
16.36,,155
10.81,,62
